Sample	Tissue	Donor	Gender
GTEX.11ZTS.0226.SM.5EQKD	Subcutaneous	GTEX.11ZTS	Female
GTEX.11ZTS.1326.SM.5EQMA	Visceral	GTEX.11ZTS	Female
GTEX.11ZTT.2526.SM.5EQM9	Subcutaneous	GTEX.11ZTT	Female
GTEX.11ZU8.2426.SM.5EQMV	Subcutaneous	GTEX.11ZU8	Male
GTEX.11ZUS.0726.SM.59886	Subcutaneous	GTEX.11ZUS	Male
GTEX.11ZUS.1826.SM.5FQTR	Visceral	GTEX.11ZUS	Male
GTEX.11ZVC.2626.SM.5FQTA	Subcutaneous	GTEX.11ZVC	Female
GTEX.1211K.1226.SM.5EQ4N	Visceral	GTEX.1211K	Female
GTEX.1211K.2226.SM.5FQU6	Subcutaneous	GTEX.1211K	Female
GTEX.12126.0426.SM.5Q5AP	Subcutaneous	GTEX.12126	Male
GTEX.1212Z.0526.SM.5FQSQ	Visceral	GTEX.1212Z	Male
GTEX.1212Z.2426.SM.5EQ5D	Subcutaneous	GTEX.1212Z	Male
GTEX.12584.0226.SM.5EQL5	Subcutaneous	GTEX.12584	Male
GTEX.12584.2126.SM.5FQUM	Visceral	GTEX.12584	Male
GTEX.12696.1826.SM.5EGJS	Visceral	GTEX.12696	Male
GTEX.12696.2526.SM.5EQLN	Subcutaneous	GTEX.12696	Male
GTEX.1269C.2726.SM.5EGJ4	Subcutaneous	GTEX.1269C	Female
GTEX.12BJ1.0826.SM.5EQ5P	Visceral	GTEX.12BJ1	Male
GTEX.12C56.0826.SM.5EGJ5	Visceral	GTEX.12C56	Male
GTEX.12C56.1626.SM.5FQUO	Subcutaneous	GTEX.12C56	Male
GTEX.12KS4.0426.SM.5EQMC	Subcutaneous	GTEX.12KS4	Male
GTEX.12KS4.1526.SM.5EQ6E	Visceral	GTEX.12KS4	Male
GTEX.12WSA.0326.SM.5BC6I	Subcutaneous	GTEX.12WSA	Male
GTEX.12WSA.1626.SM.5EGJV	Visceral	GTEX.12WSA	Male
GTEX.12WSC.0226.SM.5EQ52	Subcutaneous	GTEX.12WSC	Male
GTEX.12WSC.1726.SM.5GCN3	Visceral	GTEX.12WSC	Male
GTEX.12WSD.0226.SM.59HKO	Subcutaneous	GTEX.12WSD	Female
GTEX.12WSF.1526.SM.6PAN6	Visceral	GTEX.12WSF	Male
GTEX.12WSG.0426.SM.5FQSE	Visceral	GTEX.12WSG	Female
GTEX.12WSI.1526.SM.5GCNM	Visceral	GTEX.12WSI	Male
GTEX.12WSK.1026.SM.5CVNR	Visceral	GTEX.12WSK	Female
GTEX.12WSL.1126.SM.5CVNK	Visceral	GTEX.12WSL	Male
GTEX.12WSL.2426.SM.5GCN7	Subcutaneous	GTEX.12WSL	Male
GTEX.12WSM.0226.SM.5LZV6	Subcutaneous	GTEX.12WSM	Male
GTEX.12WSM.0626.SM.5GCOK	Visceral	GTEX.12WSM	Male
GTEX.12ZZW.2326.SM.5DUW2	Visceral	GTEX.12ZZW	Male
GTEX.12ZZX.0226.SM.5DUXU	Subcutaneous	GTEX.12ZZX	Female
GTEX.12ZZX.1726.SM.5BC63	Visceral	GTEX.12ZZX	Female
GTEX.12ZZY.0326.SM.5LZVQ	Subcutaneous	GTEX.12ZZY	Male
GTEX.12ZZZ.0526.SM.5DUX6	Subcutaneous	GTEX.12ZZZ	Male
GTEX.13111.0626.SM.5LZVR	Visceral	GTEX.13111	Male
GTEX.13111.1726.SM.5EGJZ	Subcutaneous	GTEX.13111	Male
GTEX.13112.1126.SM.5GCMY	Visceral	GTEX.13112	Male
GTEX.13112.2726.SM.5DUW5	Subcutaneous	GTEX.13112	Male
GTEX.13113.1126.SM.5LZU9	Visceral	GTEX.13113	Female
GTEX.13113.1826.SM.5LZW4	Subcutaneous	GTEX.13113	Female
GTEX.1313W.0226.SM.5LZV7	Subcutaneous	GTEX.1313W	Female
GTEX.1313W.1626.SM.5J1OE	Visceral	GTEX.1313W	Female
GTEX.1314G.1626.SM.5EQ67	Subcutaneous	GTEX.1314G	Male
GTEX.131XE.2026.SM.5LZW1	Visceral	GTEX.131XE	Male
GTEX.131XE.2426.SM.5EQ5V	Subcutaneous	GTEX.131XE	Male
GTEX.131XF.0726.SM.5GIE5	Visceral	GTEX.131XF	Male
