Sample	Tissue	Donor	Gender
GTEX.14PJ6.2226.SM.6LLIV	Subcutaneous	GTEX.14PJ6	Female
GTEX.14PJM.0326.SM.62LF2	Subcutaneous	GTEX.14PJM	Female
GTEX.14PJM.1226.SM.686Z7	Visceral	GTEX.14PJM	Female
GTEX.14PJN.0626.SM.6EU13	Visceral	GTEX.14PJN	Male
GTEX.14PJO.1626.SM.69LPQ	Visceral	GTEX.14PJO	Male
GTEX.14PK6.0926.SM.62LF4	Visceral	GTEX.14PK6	Female
GTEX.14PK6.2026.SM.6LLHP	Subcutaneous	GTEX.14PK6	Female
GTEX.14PKU.0226.SM.6EU16	Visceral	GTEX.14PKU	Female
GTEX.14PN3.0326.SM.6EU1X	Visceral	GTEX.14PN3	Female
GTEX.14PN3.2526.SM.6EU15	Subcutaneous	GTEX.14PN3	Female
GTEX.14PN4.1426.SM.6LLJ4	Visceral	GTEX.14PN4	Male
GTEX.15CHC.0826.SM.686YW	Visceral	GTEX.15CHC	Female
GTEX.15CHQ.0226.SM.6EU2S	Subcutaneous	GTEX.15CHQ	Male
GTEX.15CHQ.1126.SM.686YY	Visceral	GTEX.15CHQ	Male
GTEX.15D1Q.1326.SM.69LOA	Visceral	GTEX.15D1Q	Male
GTEX.15DCD.0226.SM.6LPKC	Subcutaneous	GTEX.15DCD	Female
GTEX.15DDE.0226.SM.6LLJ6	Subcutaneous	GTEX.15DDE	Female
GTEX.15DYW.1526.SM.7KUEP	Visceral	GTEX.15DYW	Female
GTEX.15DZA.0626.SM.6PANC	Visceral	GTEX.15DZA	Female
GTEX.15EOM.2326.SM.7KUMV	Visceral	GTEX.15EOM	Female
GTEX.15ER7.0426.SM.6PAM3	Subcutaneous	GTEX.15ER7	Female
GTEX.15ER7.1026.SM.7KUMD	Visceral	GTEX.15ER7	Female
GTEX.15ETS.0426.SM.6PANI	Subcutaneous	GTEX.15ETS	Female
GTEX.15EU6.1726.SM.6M48H	Visceral	GTEX.15EU6	Male
GTEX.15G19.0226.SM.6PAL2	Subcutaneous	GTEX.15G19	Male
GTEX.15G19.1126.SM.7KUEL	Visceral	GTEX.15G19	Male
GTEX.15RIE.0126.SM.7KUF8	Visceral	GTEX.15RIE	Male
GTEX.15RIE.2326.SM.7KFSC	Subcutaneous	GTEX.15RIE	Male
GTEX.15SDE.2426.SM.7KFRC	Subcutaneous	GTEX.15SDE	Female
GTEX.15SHU.2326.SM.7KUMC	Visceral	GTEX.15SHU	Female
GTEX.15SKB.1626.SM.6PAL6	Visceral	GTEX.15SKB	Male
GTEX.15UKP.0526.SM.7KFRO	Subcutaneous	GTEX.15UKP	Male
GTEX.15UKP.1426.SM.7KUDX	Visceral	GTEX.15UKP	Male
GTEX.169BO.0426.SM.7EPI1	Visceral	GTEX.169BO	Male
GTEX.169BO.1426.SM.9MQJT	Subcutaneous	GTEX.169BO	Male
GTEX.16AAH.1526.SM.7LT9W	Visceral	GTEX.16AAH	Male
GTEX.16AAH.2026.SM.7LG5F	Subcutaneous	GTEX.16AAH	Male
GTEX.16BQI.0526.SM.6PAM8	Subcutaneous	GTEX.16BQI	Female
GTEX.16BQI.1126.SM.7KULF	Visceral	GTEX.16BQI	Female
GTEX.16GPK.0226.SM.7DUFI	Subcutaneous	GTEX.16GPK	Male
GTEX.16GPK.1326.SM.7KUE4	Visceral	GTEX.16GPK	Male
GTEX.16MT8.0526.SM.6PAM6	Subcutaneous	GTEX.16MT8	Female
GTEX.16MTA.1326.SM.6PALX	Visceral	GTEX.16MTA	Male
GTEX.16MTA.2126.SM.6PALC	Subcutaneous	GTEX.16MTA	Male
GTEX.16NGA.0526.SM.731AJ	Visceral	GTEX.16NGA	Female
GTEX.16NGA.1826.SM.7LG5L	Subcutaneous	GTEX.16NGA	Female
GTEX.16NPV.0626.SM.7IGOR	Visceral	GTEX.16NPV	Female
GTEX.16NPX.0326.SM.7EWDI	Subcutaneous	GTEX.16NPX	Male
GTEX.16NPX.1026.SM.6PAM7	Visceral	GTEX.16NPX	Male
GTEX.16XZY.2526.SM.7DHL2	Subcutaneous	GTEX.16XZY	Male
GTEX.16XZZ.0226.SM.7MGVJ	Subcutaneous	GTEX.16XZZ	Male
GTEX.16XZZ.1626.SM.7KUEC	Visceral	GTEX.16XZZ	Male
GTEX.16YQH.0226.SM.6PALD	Subcutaneous	GTEX.16YQH	Male
GTEX.178AV.0626.SM.6PAM1	Visceral	GTEX.178AV	Male
GTEX.17EUY.0526.SM.7EWDE	Subcutaneous	GTEX.17EUY	Male
GTEX.17EVP.0426.SM.79OKG	Subcutaneous	GTEX.17EVP	Male
GTEX.17EVP.1426.SM.79OMN	Visceral	GTEX.17EVP	Male
GTEX.17EVQ.0626.SM.7KFTB	Visceral	GTEX.17EVQ	Male
GTEX.17F96.0726.SM.793CB	Visceral	GTEX.17F96	Male
GTEX.17F96.1726.SM.7IGMB	Subcutaneous	GTEX.17F96	Male
GTEX.17F97.0426.SM.7LT9U	Subcutaneous	GTEX.17F97	Male
GTEX.17F97.1226.SM.79OJT	Visceral	GTEX.17F97	Male
GTEX.17F98.0326.SM.7DHLH	Visceral	GTEX.17F98	Female
GTEX.17F98.1126.SM.79OJS	Subcutaneous	GTEX.17F98	Female
GTEX.17F9E.1326.SM.7DHL4	Visceral	GTEX.17F9E	Male
GTEX.17F9Y.0326.SM.7IGLS	Subcutaneous	GTEX.17F9Y	Female
GTEX.17F9Y.0726.SM.7LT9G	Visceral	GTEX.17F9Y	Female
GTEX.17GQL.0826.SM.731AM	Visceral	GTEX.17GQL	Male
GTEX.17HG3.2326.SM.79OKH	Subcutaneous	GTEX.17HG3	Female
GTEX.17HGU.0326.SM.7DUER	Subcutaneous	GTEX.17HGU	Male
GTEX.17HGU.1726.SM.79OKM	Visceral	GTEX.17HGU	Male
GTEX.17HHE.1526.SM.793AS	Visceral	GTEX.17HHE	Male
GTEX.17HHE.1926.SM.7EPGW	Subcutaneous	GTEX.17HHE	Male
GTEX.17HHY.0226.SM.793BQ	Subcutaneous	GTEX.17HHY	Male
GTEX.17HHY.1026.SM.7LG5E	Visceral	GTEX.17HHY	Male
GTEX.17HII.0326.SM.7LG4X	Subcutaneous	GTEX.17HII	Male
GTEX.17HII.0826.SM.7DUFH	Visceral	GTEX.17HII	Male
GTEX.17JCI.1626.SM.7EPGZ	Visceral	GTEX.17JCI	Female
GTEX.17KNJ.0426.SM.718AK	Visceral	GTEX.17KNJ	Male
GTEX.17KNJ.2226.SM.DKPOU	Subcutaneous	GTEX.17KNJ	Male
GTEX.17MF6.0226.SM.7LG4G	Subcutaneous	GTEX.17MF6	Male
GTEX.17MF6.1326.SM.79ONE	Visceral	GTEX.17MF6	Male
GTEX.17MFQ.1126.SM.7LT9O	Visceral	GTEX.17MFQ	Male
GTEX.17MFQ.1826.SM.7DHLS	Subcutaneous	GTEX.17MFQ	Male
GTEX.183FY.0326.SM.793BY	Subcutaneous	GTEX.183FY	Male
GTEX.183FY.1226.SM.7DHLK	Visceral	GTEX.183FY	Male
GTEX.183WM.0226.SM.7LT8T	Subcutaneous	GTEX.183WM	Female
GTEX.18465.0226.SM.7LG5M	Subcutaneous	GTEX.18465	Male
GTEX.18465.1826.SM.731BB	Visceral	GTEX.18465	Male
GTEX.18A66.0326.SM.718BE	Subcutaneous	GTEX.18A66	Male
GTEX.18A66.1926.SM.7LTAG	Visceral	GTEX.18A66	Male
GTEX.18A67.0226.SM.7LG67	Subcutaneous	GTEX.18A67	Male
GTEX.18A67.1326.SM.7LT8V	Visceral	GTEX.18A67	Male
GTEX.18A6Q.0226.SM.718AS	Subcutaneous	GTEX.18A6Q	Male
GTEX.18A6Q.1026.SM.7LT9S	Visceral	GTEX.18A6Q	Male
GTEX.18A7A.0326.SM.731AT	Subcutaneous	GTEX.18A7A	Female
GTEX.18A7A.0926.SM.7LT8H	Visceral	GTEX.18A7A	Female
GTEX.18A7B.1226.SM.718AU	Visceral	GTEX.18A7B	Male
GTEX.18D9A.0726.SM.7LTA7	Visceral	GTEX.18D9A	Female
GTEX.18D9A.2026.SM.718BL	Subcutaneous	GTEX.18D9A	Female
GTEX.18D9B.1726.SM.7LTAP	Visceral	GTEX.18D9B	Male
GTEX.18D9U.0426.SM.731AN	Visceral	GTEX.18D9U	Male
GTEX.18D9U.0726.SM.7LG5J	Subcutaneous	GTEX.18D9U	Male
GTEX.18QFQ.0226.SM.731BQ	Subcutaneous	GTEX.18QFQ	Male
GTEX.18QFQ.1326.SM.731CF	Visceral	GTEX.18QFQ	Male
GTEX.1A32A.0226.SM.718B2	Subcutaneous	GTEX.1A32A	Female
GTEX.1A32A.0926.SM.718AB	Visceral	GTEX.1A32A	Female
GTEX.1A3MV.0626.SM.731CH	Visceral	GTEX.1A3MV	Male
GTEX.1A3MV.2126.SM.718BV	Subcutaneous	GTEX.1A3MV	Male
GTEX.1A3MW.0226.SM.7939O	Subcutaneous	GTEX.1A3MW	Female
GTEX.1A3MX.0226.SM.731C4	Subcutaneous	GTEX.1A3MX	Male
GTEX.1A3MX.0826.SM.72D64	Visceral	GTEX.1A3MX	Male
GTEX.1A8FM.0126.SM.7SB7P	Subcutaneous	GTEX.1A8FM	Female
GTEX.1A8FM.2126.SM.7PC27	Visceral	GTEX.1A8FM	Female
GTEX.1A8G6.0526.SM.7PC1E	Subcutaneous	GTEX.1A8G6	Male
GTEX.1A8G6.2026.SM.73KYC	Visceral	GTEX.1A8G6	Male
GTEX.1A8G7.0226.SM.731AS	Subcutaneous	GTEX.1A8G7	Male
GTEX.1A8G7.1226.SM.73KYP	Visceral	GTEX.1A8G7	Male
GTEX.1AMEY.0526.SM.72D62	Visceral	GTEX.1AMEY	Female
GTEX.1AMEY.1426.SM.7939I	Subcutaneous	GTEX.1AMEY	Female
GTEX.1AMFI.1026.SM.73KYM	Visceral	GTEX.1AMFI	Female
GTEX.1AMFI.2126.SM.731BT	Subcutaneous	GTEX.1AMFI	Female
GTEX.1AX8Z.1626.SM.73KWD	Visceral	GTEX.1AX8Z	Male
GTEX.1AX9I.0226.SM.7SB75	Subcutaneous	GTEX.1AX9I	Male
GTEX.1AX9I.1726.SM.731BX	Visceral	GTEX.1AX9I	Male
GTEX.1AX9J.0326.SM.73KXY	Subcutaneous	GTEX.1AX9J	Male
GTEX.1AX9J.2226.SM.731CW	Visceral	GTEX.1AX9J	Male
GTEX.1AX9K.0926.SM.7939G	Visceral	GTEX.1AX9K	Male
GTEX.1AX9K.2426.SM.73KZ4	Subcutaneous	GTEX.1AX9K	Male
GTEX.1AYCT.1126.SM.79OO8	Visceral	GTEX.1AYCT	Male
GTEX.1AYCT.2226.SM.7SB98	Subcutaneous	GTEX.1AYCT	Male
GTEX.1AYD5.0126.SM.7DUG5	Visceral	GTEX.1AYD5	Male
GTEX.1AYD5.2326.SM.73KXF	Subcutaneous	GTEX.1AYD5	Male
GTEX.1B8KE.0826.SM.72D6S	Visceral	GTEX.1B8KE	Male
GTEX.1B8KE.2526.SM.73KYQ	Subcutaneous	GTEX.1B8KE	Male
GTEX.1B8KZ.1026.SM.73KYN	Visceral	GTEX.1B8KZ	Male
GTEX.1B8KZ.1926.SM.7DUG8	Subcutaneous	GTEX.1B8KZ	Male
GTEX.1B8L1.0126.SM.9KNVS	Visceral	GTEX.1B8L1	Male
GTEX.1B8L1.2626.SM.7SB77	Subcutaneous	GTEX.1B8L1	Male
GTEX.1B8SF.0526.SM.7939F	Subcutaneous	GTEX.1B8SF	Male
GTEX.1B8SF.1726.SM.73KZ5	Visceral	GTEX.1B8SF	Male
GTEX.1B8SG.0226.SM.7939Q	Subcutaneous	GTEX.1B8SG	Male
GTEX.1B8SG.1426.SM.7EWEM	Visceral	GTEX.1B8SG	Male
GTEX.1B932.0226.SM.7PBYH	Subcutaneous	GTEX.1B932	Female
GTEX.1B932.1726.SM.793A5	Visceral	GTEX.1B932	Female
GTEX.1B933.0526.SM.7EPHM	Subcutaneous	GTEX.1B933	Female
GTEX.1B933.1326.SM.7939U	Visceral	GTEX.1B933	Female
GTEX.1B97I.0526.SM.73KXE	Visceral	GTEX.1B97I	Male
GTEX.1B97I.1726.SM.7939V	Subcutaneous	GTEX.1B97I	Male
GTEX.1B97J.1126.SM.7SB79	Visceral	GTEX.1B97J	Female
GTEX.1B996.0126.SM.7PBYF	Subcutaneous	GTEX.1B996	Male
GTEX.1B996.1226.SM.73KWZ	Visceral	GTEX.1B996	Male
GTEX.1BAJH.0426.SM.73KWY	Subcutaneous	GTEX.1BAJH	Male
GTEX.1BAJH.2126.SM.7EWFB	Visceral	GTEX.1BAJH	Male
GTEX.1C2JI.0826.SM.7EPHB	Visceral	GTEX.1C2JI	Male
GTEX.1C2JI.2226.SM.7IGPJ	Subcutaneous	GTEX.1C2JI	Male
GTEX.1C475.0326.SM.7SB8O	Visceral	GTEX.1C475	Female
GTEX.1C475.1926.SM.7DUFV	Subcutaneous	GTEX.1C475	Female
GTEX.1C4CL.0426.SM.7939N	Subcutaneous	GTEX.1C4CL	Male
GTEX.1C64N.1326.SM.7SB7D	Visceral	GTEX.1C64N	Male
GTEX.1C64O.0226.SM.73KXB	Subcutaneous	GTEX.1C64O	Male
GTEX.1C6VQ.0226.SM.7P8S5	Subcutaneous	GTEX.1C6VQ	Male
GTEX.1C6VQ.1526.SM.73KU9	Visceral	GTEX.1C6VQ	Male
GTEX.1C6VR.1126.SM.7EPHD	Visceral	GTEX.1C6VR	Male
GTEX.1C6VR.2626.SM.7MGX2	Subcutaneous	GTEX.1C6VR	Male
GTEX.1C6VS.0426.SM.79OJV	Subcutaneous	GTEX.1C6VS	Male
GTEX.1C6VS.1826.SM.73KXN	Visceral	GTEX.1C6VS	Male
GTEX.1C6WA.0226.SM.7IGPO	Subcutaneous	GTEX.1C6WA	Male
GTEX.1CAMQ.0126.SM.7SB7S	Subcutaneous	GTEX.1CAMQ	Male
GTEX.1CAMQ.1226.SM.7SB7E	Visceral	GTEX.1CAMQ	Male
GTEX.1CAMR.0326.SM.793AH	Visceral	GTEX.1CAMR	Male
GTEX.1CAMR.1826.SM.7MXUJ	Subcutaneous	GTEX.1CAMR	Male
GTEX.1CAMS.0326.SM.7PC35	Subcutaneous	GTEX.1CAMS	Female
GTEX.1CAMS.0926.SM.7SB7F	Visceral	GTEX.1CAMS	Female
GTEX.1CAV2.0226.SM.7IGPQ	Visceral	GTEX.1CAV2	Female
GTEX.1CB4E.0826.SM.793CS	Visceral	GTEX.1CB4E	Male
GTEX.1CB4E.1826.SM.7RHG8	Subcutaneous	GTEX.1CB4E	Male
GTEX.1CB4F.0526.SM.9KNW2	Subcutaneous	GTEX.1CB4F	Male
GTEX.1CB4F.1126.SM.79OLG	Visceral	GTEX.1CB4F	Male
GTEX.1CB4G.0326.SM.7SB8R	Subcutaneous	GTEX.1CB4G	Male
GTEX.1CB4G.2126.SM.7IGQ8	Visceral	GTEX.1CB4G	Male
GTEX.1CB4H.0326.SM.9WG5G	Subcutaneous	GTEX.1CB4H	Female
GTEX.1CB4I.0426.SM.7IGPR	Subcutaneous	GTEX.1CB4I	Male
GTEX.1CB4I.0826.SM.7MGX1	Visceral	GTEX.1CB4I	Male
GTEX.1CB4J.1126.SM.7PBY1	Subcutaneous	GTEX.1CB4J	Male
GTEX.1E1VI.0226.SM.793CZ	Subcutaneous	GTEX.1E1VI	Male
GTEX.1E1VI.1826.SM.9WG5J	Visceral	GTEX.1E1VI	Male
GTEX.1E2YA.0226.SM.9MQLY	Subcutaneous	GTEX.1E2YA	Male
GTEX.1EH9U.0226.SM.7PBY8	Subcutaneous	GTEX.1EH9U	Male
GTEX.1EH9U.1326.SM.79OM3	Visceral	GTEX.1EH9U	Male
GTEX.1EKGG.0126.SM.9YFLS	Subcutaneous	GTEX.1EKGG	Male
GTEX.1EKGG.1426.SM.7PBY2	Visceral	GTEX.1EKGG	Male
GTEX.1EMGI.0226.SM.9MQL1	Subcutaneous	GTEX.1EMGI	Male
GTEX.1EMGI.0726.SM.7PBZ4	Visceral	GTEX.1EMGI	Male
GTEX.1EN7A.1626.SM.79OLV	Visceral	GTEX.1EN7A	Male
GTEX.1EU9M.0326.SM.7RHGF	Subcutaneous	GTEX.1EU9M	Male
GTEX.1EU9M.1126.SM.793DE	Visceral	GTEX.1EU9M	Male
GTEX.1EWIQ.0226.SM.793D3	Subcutaneous	GTEX.1EWIQ	Female
GTEX.1EWIQ.2526.SM.7EPIJ	Visceral	GTEX.1EWIQ	Female
GTEX.1EX96.1426.SM.7PBZ5	Subcutaneous	GTEX.1EX96	Male
GTEX.1F48J.0226.SM.7SB82	Subcutaneous	GTEX.1F48J	Female
GTEX.1F48J.1826.SM.7SB8T	Visceral	GTEX.1F48J	Female
GTEX.1F52S.0226.SM.7SB7U	Subcutaneous	GTEX.1F52S	Female
GTEX.1F52S.1326.SM.7SB6Q	Visceral	GTEX.1F52S	Female
GTEX.1F5PK.2526.SM.9MQKN	Subcutaneous	GTEX.1F5PK	Male
GTEX.1F5PL.1326.SM.7SB83	Visceral	GTEX.1F5PL	Female
GTEX.1F6I4.0226.SM.9MQMA	Subcutaneous	GTEX.1F6I4	Male
GTEX.1F6I4.2126.SM.7PC2J	Visceral	GTEX.1F6I4	Male
GTEX.1F6IF.2026.SM.7P8SE	Visceral	GTEX.1F6IF	Male
GTEX.1F6RS.0226.SM.9MQKO	Subcutaneous	GTEX.1F6RS	Female
GTEX.1F75A.0226.SM.7PC2K	Subcutaneous	GTEX.1F75A	Male
GTEX.1F75B.1226.SM.7MXTW	Visceral	GTEX.1F75B	Male
GTEX.1F75I.0426.SM.7PC3S	Subcutaneous	GTEX.1F75I	Male
GTEX.1F75I.1026.SM.7SB8B	Visceral	GTEX.1F75I	Male
GTEX.1F75W.0226.SM.9JGGP	Subcutaneous	GTEX.1F75W	Male
GTEX.1F88E.0526.SM.7SB8J	Subcutaneous	GTEX.1F88E	Female
GTEX.1F88F.2626.SM.9WG5K	Subcutaneous	GTEX.1F88F	Female
GTEX.1FIGZ.1626.SM.7SB8L	Subcutaneous	GTEX.1FIGZ	Male
GTEX.1GF9U.1226.SM.ARL9I	Visceral	GTEX.1GF9U	Female
GTEX.1GF9V.0226.SM.9MQKA	Subcutaneous	GTEX.1GF9V	Male
GTEX.1GF9V.1126.SM.9MQM7	Visceral	GTEX.1GF9V	Male
GTEX.1GF9W.1026.SM.7SB8X	Visceral	GTEX.1GF9W	Male
GTEX.1GF9X.0926.SM.7PC2X	Visceral	GTEX.1GF9X	Female
GTEX.1GF9X.1926.SM.ADEIC	Subcutaneous	GTEX.1GF9X	Female
GTEX.1GL5R.0726.SM.9MQL5	Visceral	GTEX.1GL5R	Male
GTEX.1GMR2.0226.SM.9JGHO	Visceral	GTEX.1GMR2	Male
GTEX.1GMR2.2526.SM.9MQKW	Subcutaneous	GTEX.1GMR2	Male
GTEX.1GMR3.0826.SM.9WYT4	Visceral	GTEX.1GMR3	Male
GTEX.1GMR3.2026.SM.9MQLG	Subcutaneous	GTEX.1GMR3	Male
GTEX.1GMR8.0226.SM.9YFL3	Subcutaneous	GTEX.1GMR8	Female
GTEX.1GMRU.0226.SM.9YFLW	Subcutaneous	GTEX.1GMRU	Male
GTEX.1GMRU.0726.SM.7PBZH	Visceral	GTEX.1GMRU	Male
GTEX.1GN1U.0226.SM.9YFLQ	Subcutaneous	GTEX.1GN1U	Female
GTEX.1GN1U.0726.SM.9MQKL	Visceral	GTEX.1GN1U	Female
GTEX.1GN1V.0226.SM.9WYTN	Subcutaneous	GTEX.1GN1V	Male
GTEX.1GN1W.0626.SM.9MQK3	Subcutaneous	GTEX.1GN1W	Female
GTEX.1GN1W.1226.SM.9MQLW	Visceral	GTEX.1GN1W	Female
GTEX.1GN2E.0326.SM.COH3C	Subcutaneous	GTEX.1GN2E	Male
GTEX.1GN73.0326.SM.9KNTW	Subcutaneous	GTEX.1GN73	Male
GTEX.1GN73.0626.SM.7PC3I	Visceral	GTEX.1GN73	Male
GTEX.1GPI7.0226.SM.9MQKB	Subcutaneous	GTEX.1GPI7	Male
GTEX.1GPI7.0826.SM.9JGG7	Visceral	GTEX.1GPI7	Male
GTEX.1GTWX.0226.SM.9YFLL	Subcutaneous	GTEX.1GTWX	Male
GTEX.1GTWX.1526.SM.9MQLF	Visceral	GTEX.1GTWX	Male
GTEX.1GZ2Q.0326.SM.9WG6N	Subcutaneous	GTEX.1GZ2Q	Male
GTEX.1GZ2Q.1226.SM.9MQM8	Visceral	GTEX.1GZ2Q	Male
GTEX.1GZ4H.0926.SM.9WG6Y	Visceral	GTEX.1GZ4H	Female
GTEX.1GZ4H.1826.SM.9MQLE	Subcutaneous	GTEX.1GZ4H	Female
GTEX.1GZ4I.0226.SM.7RHHO	Subcutaneous	GTEX.1GZ4I	Male
GTEX.1GZ4I.2326.SM.9YFMO	Visceral	GTEX.1GZ4I	Male
GTEX.1H11D.1126.SM.9YFM5	Visceral	GTEX.1H11D	Male
GTEX.1H1CY.0826.SM.9WYTU	Visceral	GTEX.1H1CY	Female
GTEX.1H1CY.2626.SM.9MQKJ	Subcutaneous	GTEX.1H1CY	Female
GTEX.1H1DE.0826.SM.ARU8V	Visceral	GTEX.1H1DE	Male
GTEX.1H1DE.2026.SM.9WG6Q	Subcutaneous	GTEX.1H1DE	Male
GTEX.1H1DF.0226.SM.ARL9A	Subcutaneous	GTEX.1H1DF	Female
GTEX.1H1DF.1426.SM.9YFMC	Visceral	GTEX.1H1DF	Female
GTEX.1H1DG.2026.SM.9QEIV	Visceral	GTEX.1H1DG	Male
GTEX.1H1E6.1126.SM.9JGGV	Visceral	GTEX.1H1E6	Male
GTEX.1H1E6.2026.SM.9KNVK	Subcutaneous	GTEX.1H1E6	Male
GTEX.1H1ZS.0526.SM.9WG5L	Subcutaneous	GTEX.1H1ZS	Male
GTEX.1H1ZS.1326.SM.9WG74	Visceral	GTEX.1H1ZS	Male
GTEX.1H23P.0226.SM.9YFLO	Subcutaneous	GTEX.1H23P	Male
GTEX.1H23P.1726.SM.A9SMN	Visceral	GTEX.1H23P	Male
GTEX.1H2FU.0226.SM.9YFKO	Subcutaneous	GTEX.1H2FU	Female
GTEX.1H2FU.1426.SM.9WPO6	Visceral	GTEX.1H2FU	Female
GTEX.1H3O1.0526.SM.9MQLS	Subcutaneous	GTEX.1H3O1	Male
GTEX.1H3VE.0226.SM.9WYST	Subcutaneous	GTEX.1H3VE	Male
GTEX.1H3VE.1926.SM.9YFL4	Visceral	GTEX.1H3VE	Male
GTEX.1H3VY.0226.SM.9YFMF	Subcutaneous	GTEX.1H3VY	Male
GTEX.1H4P4.0226.SM.9YFKT	Subcutaneous	GTEX.1H4P4	Male
GTEX.1H4P4.0326.SM.9WYTD	Visceral	GTEX.1H4P4	Male
GTEX.1HB9E.0426.SM.CNPPV	Subcutaneous	GTEX.1HB9E	Male
GTEX.1HB9E.0526.SM.ARZNM	Visceral	GTEX.1HB9E	Male
GTEX.1HBPH.0526.SM.9YFMN	Subcutaneous	GTEX.1HBPH	Female
GTEX.1HBPH.2226.SM.9WYSO	Visceral	GTEX.1HBPH	Female
GTEX.1HBPI.1426.SM.B2LW7	Subcutaneous	GTEX.1HBPI	Male
GTEX.1HBPI.1826.SM.ADEHE	Visceral	GTEX.1HBPI	Male
GTEX.1HBPM.0326.SM.CMKGR	Subcutaneous	GTEX.1HBPM	Female
GTEX.1HBPN.1526.SM.9WYSB	Visceral	GTEX.1HBPN	Male
GTEX.1HC8U.0926.SM.A9G3L	Visceral	GTEX.1HC8U	Female
GTEX.1HCU6.0226.SM.CGQES	Subcutaneous	GTEX.1HCU6	Female
GTEX.1HCU6.1626.SM.CMKGW	Visceral	GTEX.1HCU6	Female
GTEX.1HCU7.0326.SM.CMKGI	Subcutaneous	GTEX.1HCU7	Male
GTEX.1HCU7.2026.SM.A9G2B	Visceral	GTEX.1HCU7	Male
GTEX.1HCU8.0726.SM.ADEIR	Subcutaneous	GTEX.1HCU8	Female
GTEX.1HCU8.1126.SM.CM2SA	Visceral	GTEX.1HCU8	Female
GTEX.1HCU9.0626.SM.ACKW6	Visceral	GTEX.1HCU9	Male
GTEX.1HCUA.0926.SM.ADEIX	Visceral	GTEX.1HCUA	Female
GTEX.1HCUA.2226.SM.ADEHF	Subcutaneous	GTEX.1HCUA	Female
GTEX.1HCVE.0226.SM.CGQEV	Subcutaneous	GTEX.1HCVE	Male
GTEX.1HFI6.0326.SM.ADEI5	Subcutaneous	GTEX.1HFI6	Male
GTEX.1HFI6.1726.SM.CGQFH	Visceral	GTEX.1HFI6	Male
GTEX.1HFI7.0726.SM.ACKVN	Visceral	GTEX.1HFI7	Female
GTEX.1HFI7.2026.SM.CGQFR	Subcutaneous	GTEX.1HFI7	Female
GTEX.1HGF4.0226.SM.CNNQL	Visceral	GTEX.1HGF4	Male
GTEX.1HGF4.2526.SM.ADEIZ	Subcutaneous	GTEX.1HGF4	Male
GTEX.1HKZK.1726.SM.ADEJ9	Visceral	GTEX.1HKZK	Male
GTEX.1HR98.0226.SM.CGQEK	Subcutaneous	GTEX.1HR98	Male
GTEX.1HR9M.0226.SM.COH3E	Subcutaneous	GTEX.1HR9M	Male
GTEX.1HR9M.1426.SM.A9SMB	Visceral	GTEX.1HR9M	Male
GTEX.1HSEH.0226.SM.ACKVV	Subcutaneous	GTEX.1HSEH	Male
GTEX.1HSEH.1326.SM.ADEI1	Visceral	GTEX.1HSEH	Male
GTEX.1HSGN.0126.SM.CGQFU	Subcutaneous	GTEX.1HSGN	Female
GTEX.1HSGN.1926.SM.CMKGS	Visceral	GTEX.1HSGN	Female
GTEX.1HSKV.0326.SM.ADEJC	Subcutaneous	GTEX.1HSKV	Male
GTEX.1HSKV.1926.SM.CNPPN	Visceral	GTEX.1HSKV	Male
GTEX.1HSMO.0226.SM.CGQEZ	Subcutaneous	GTEX.1HSMO	Male
GTEX.1HSMO.1426.SM.CNNQN	Visceral	GTEX.1HSMO	Male
GTEX.1HSMP.0226.SM.CGQFI	Subcutaneous	GTEX.1HSMP	Male
GTEX.1HSMP.1126.SM.B2LXJ	Visceral	GTEX.1HSMP	Male
GTEX.1HSMQ.1026.SM.ADEHU	Visceral	GTEX.1HSMQ	Male
GTEX.1HSMQ.1426.SM.ADEHT	Subcutaneous	GTEX.1HSMQ	Male
GTEX.1HT8W.0226.SM.CMKGT	Subcutaneous	GTEX.1HT8W	Male
GTEX.1HT8W.0726.SM.A9SLB	Visceral	GTEX.1HT8W	Male
GTEX.1HUB1.0326.SM.A9SKQ	Subcutaneous	GTEX.1HUB1	Male
GTEX.1HUB1.1526.SM.CGQF6	Visceral	GTEX.1HUB1	Male
GTEX.1I19N.0426.SM.ACKVY	Subcutaneous	GTEX.1I19N	Male
GTEX.1I19N.1026.SM.A96TT	Visceral	GTEX.1I19N	Male
GTEX.1I1CD.0226.SM.CM2TL	Subcutaneous	GTEX.1I1CD	Female
GTEX.1I1CD.1026.SM.COH3G	Visceral	GTEX.1I1CD	Female
GTEX.1I1GP.1426.SM.ACKVZ	Visceral	GTEX.1I1GP	Male
GTEX.1I1GP.2326.SM.CGQFL	Subcutaneous	GTEX.1I1GP	Male
GTEX.1I1GQ.0226.SM.COH3I	Subcutaneous	GTEX.1I1GQ	Male
GTEX.1I1GQ.1026.SM.CNNQS	Visceral	GTEX.1I1GQ	Male
GTEX.1I1GR.0226.SM.CMKHQ	Subcutaneous	GTEX.1I1GR	Male
GTEX.1I1GR.1726.SM.COH39	Visceral	GTEX.1I1GR	Male
GTEX.1I1GS.0226.SM.B2LVX	Subcutaneous	GTEX.1I1GS	Male
GTEX.1I1GS.0926.SM.A9SL5	Visceral	GTEX.1I1GS	Male
GTEX.1I1GT.0526.SM.CGQEQ	Subcutaneous	GTEX.1I1GT	Female
